Meter_Id,Meter_Id(prefix removed),Cleaned_Date,Weekday,Weekday(number),Week_Number,Region_Code,District,Dwelling_Type,Labeled_Dwelling_type,Num_Occupants,House_Area (sqft),Appliance_Score,Appliance_Score_Grouped,Connected_Load(kw),Load_category(labeled),Temperature_C,Temparature_category,Humidity (%),Cleaned_Expected_Energy(kwh),Cleaned_Actual_Energy(kwh),Usage_Deviation(%),Cluster_Avg_Energy(kwh),Abnormal_Usage,Pattern_Usage,,,
IN-KL-ELC-46350732,46350732,1/23/2023,Monday,2,4,IN_KL_ERN,Ernakulam,Villa,1,4,2210,10,Low,4.78,2,30.11,>30,53.9,14.71,16.70,13.53%,16.28,0,0,,Monday,2
IN-KL-ELC-85879717,85879717,1/20/2023,Friday,6,3,IN_KL_ALP,Alappuzha,Apartment,2,1,2619,15,Medium,5.08,3,24.36,<25,83.49,12.23,18.21,48.86%,16.47,1,1,,Tuesday,3
IN-KL-ELC-68343808,68343808,1/21/2023,Saturday,7,3,IN_KL_ERN,Ernakulam,Apartment,2,2,2135,8,Low,5.80,3,31.54,>30,49.36,12.84,12.17,-5.22%,16.61,0,0,,Wednesday,4
IN-KL-ELC-49701826,49701826,1/27/2023,Friday,6,4,IN_KL_ALP,Alappuzha,Independent House,0,6,2722,8,Low,3.13,2,27.83,25-30,67.57,14.46,13.92,-3.73%,17.83,0,1,,Thursday,5
IN-KL-ELC-11739503,11739503,1/5/2023,Thursday,5,1,IN_KL_ERN,Ernakulam,Apartment,2,2,866,21,High,6.44,3,25.12,25-30,68.23,16.29,21.32,30.85%,16.61,1,1,,Friday,6
IN-KL-ELC-79975445,79975445,1/8/2023,Sunday,1,2,IN_KL_ERN,Ernakulam,Villa,1,5,2520,15,Medium,6.56,3,31.87,>30,74.86,19.40,21.45,10.57%,16.28,1,0,,Saturday,7
IN-KL-ELC-63597471,63597471,1/10/2023,Tuesday,3,2,IN_KL_ALP,Alappuzha,Independent House,0,2,2460,13,Medium,6.73,3,33.82,>30,74.16,15.86,27.22,71.65%,17.83,1,1,,,
IN-KL-ELC-67217429,67217429,1/9/2023,Monday,2,2,IN_KL_TVM,Thiruvananthapuram,Independent House,0,1,901,12,Medium,6.19,3,30.43,>30,73.7,13.23,0.00,-100.00%,16.89,1,0,,Load_category labeling,
IN-KL-ELC-83633639,83633639,1/27/2023,Friday,6,4,IN_KL_TVM,Thiruvananthapuram,Villa,1,4,1490,9,Low,2.88,1,30.72,>30,75.54,13.05,18.26,39.90%,16.02,1,1,,High ,3
IN-KL-ELC-82593211,82593211,1/10/2023,Tuesday,3,2,IN_KL_TVM,Thiruvananthapuram,Independent House,0,6,2185,18,High,3.67,2,28.80,25-30,62.93,18.51,18.09,-2.27%,16.89,0,1,,Medium,2
IN-KL-ELC-54399325,54399325,1/20/2023,Friday,6,3,IN_KL_ERN,Ernakulam,Independent House,0,3,906,7,Low,7.79,3,31.06,>30,73.59,15.03,0.00,-100.00%,16.43,1,0,,Low,1
IN-KL-ELC-26306854,26306854,1/10/2023,Tuesday,3,2,IN_KL_ALP,Alappuzha,Independent House,0,5,2616,11,Medium,7.08,3,29.59,25-30,77.13,17.75,25.93,46.10%,17.83,1,1,,,
IN-KL-ELC-50932588,50932588,1/10/2023,Tuesday,3,2,IN_KL_ERN,Ernakulam,Apartment,2,6,578,10,Low,7.84,3,39.07,>30,69.39,21.79,29.79,36.69%,16.61,1,1,,,
IN-KL-ELC-93121901,93121901,1/23/2023,Monday,2,4,IN_KL_ERN,Ernakulam,Villa,1,6,1367,7,Low,5.36,3,28.23,25-30,63.92,15.84,16.96,7.07%,16.28,0,0,,,
IN-KL-ELC-42410429,42410429,1/13/2023,Friday,6,2,IN_KL_ERN,Ernakulam,Apartment,2,4,2455,7,Low,2.57,1,33.05,>30,80.37,12.52,11.10,-11.34%,16.61,1,0,,,
IN-KL-ELC-95384842,95384842,1/3/2023,Tuesday,3,1,IN_KL_TVM,Thiruvananthapuram,Independent House,0,3,992,13,Medium,7.19,3,27.18,25-30,64.75,16.89,0.00,-100.00%,16.89,1,0,,,
IN-KL-ELC-58776490,58776490,1/22/2023,Sunday,1,4,IN_KL_ALP,Alappuzha,Apartment,2,1,679,14,Medium,7.14,3,32.54,>30,84.64,15.11,13.57,-10.19%,16.47,0,0,,,
IN-KL-ELC-40605535,40605535,1/5/2023,Thursday,5,1,IN_KL_ALP,Alappuzha,Independent House,0,1,755,12,Medium,3.42,2,32.57,>30,52.39,11.49,11.65,1.39%,17.83,1,1,,,
IN-KL-ELC-84084868,84084868,1/11/2023,Wednesday,4,2,IN_KL_ERN,Ernakulam,Independent House,0,4,1638,19,High,7.45,3,36.19,>30,60.4,21.68,18.90,-12.82%,16.43,0,0,,,
IN-KL-ELC-88053158,88053158,1/6/2023,Friday,6,1,IN_KL_ALP,Alappuzha,Apartment,2,5,1052,7,Low,5.22,3,31.52,>30,70.09,15.41,15.78,2.40%,16.47,0,0,,,
IN-KL-ELC-60604864,60604864,1/10/2023,Tuesday,3,2,IN_KL_ERN,Ernakulam,Villa,1,4,2704,21,High,2.64,1,37.30,>30,58.51,18.78,19.27,2.61%,16.28,0,0,,,
IN-KL-ELC-61429232,61429232,1/14/2023,Saturday,7,2,IN_KL_ERN,Ernakulam,Apartment,2,2,2530,18,High,6.57,3,28.36,25-30,45.53,16.22,27.99,72.57%,16.61,1,1,,,
IN-KL-ELC-85195758,85195758,1/3/2023,Tuesday,3,1,IN_KL_TVM,Thiruvananthapuram,Apartment,2,2,1932,21,High,6.24,3,29.46,25-30,66.32,17.29,18.39,6.36%,17.26,0,1,,,
IN-KL-ELC-94272884,94272884,1/4/2023,Wednesday,4,1,IN_KL_ALP,Alappuzha,Apartment,2,1,896,21,High,5.61,3,31.09,>30,65.06,16.12,25.72,59.58%,16.47,1,1,,,
IN-KL-ELC-48945390,48945390,1/13/2023,Friday,6,2,IN_KL_ERN,Ernakulam,Independent House,0,2,2034,13,Medium,6.02,3,36.20,>30,64.29,16.43,0.00,-100.00%,16.43,1,0,,,
IN-KL-ELC-92753493,92753493,1/11/2023,Wednesday,4,2,IN_KL_ERN,Ernakulam,Apartment,2,5,2546,17,High,7.11,3,32.92,>30,52.82,20.86,20.14,-3.45%,16.61,0,1,,,
IN-KL-ELC-87103622,87103622,1/8/2023,Sunday,1,2,IN_KL_ERN,Ernakulam,Villa,1,5,2637,13,Medium,5.22,3,31.34,>30,81.34,17.51,17.87,2.06%,16.28,0,0,,,
IN-KL-ELC-73898526,73898526,1/1/2023,Sunday,1,1,IN_KL_TVM,Thiruvananthapuram,Independent House,0,5,1725,11,Medium,7.14,3,24.35,<25,46.51,16.39,0.00,-100.00%,16.89,1,0,,,
IN-KL-ELC-88053158,88053158,1/7/2023,Saturday,7,1,IN_KL_ALP,Alappuzha,Apartment,2,5,1052,7,Low,5.22,3,28.09,25-30,69.08,14.63,13.62,-6.90%,16.47,0,0,,,
IN-KL-ELC-55638606,55638606,1/6/2023,Friday,6,1,IN_KL_ERN,Ernakulam,Villa,1,6,463,9,Low,3.28,2,33.85,>30,52.97,16.30,25.75,58.00%,16.28,1,1,,,
IN-KL-ELC-92687993,92687993,1/11/2023,Wednesday,4,2,IN_KL_ALP,Alappuzha,Apartment,2,3,1273,16,High,6.04,3,32.26,>30,61.72,17.19,15.74,-8.44%,16.47,0,0,,,
IN-KL-ELC-20063517,20063517,1/22/2023,Sunday,1,4,IN_KL_TVM,Thiruvananthapuram,Independent House,0,6,2560,21,High,4.08,2,31.53,>30,71.49,20.67,20.73,0.29%,16.89,0,1,,,
IN-KL-ELC-61700190,61700190,1/2/2023,Monday,2,1,IN_KL_TVM,Thiruvananthapuram,Independent House,0,1,1371,8,Low,5.28,3,36.10,>30,55.5,12.07,12.59,4.31%,16.89,0,1,,,
IN-KL-ELC-69957771,69957771,1/7/2023,Saturday,7,1,IN_KL_ERN,Ernakulam,Apartment,2,2,2148,13,Medium,5.81,3,30.00,25-30,67.72,14.31,16.01,11.88%,16.61,0,1,,,
IN-KL-ELC-95024504,95024504,1/14/2023,Saturday,7,2,IN_KL_ALP,Alappuzha,Apartment,2,6,1523,16,High,7.42,3,33.31,>30,81.6,22.01,22.74,3.32%,16.47,1,0,,,
IN-KL-ELC-13024599,13024599,1/16/2023,Monday,2,3,IN_KL_TVM,Thiruvananthapuram,Independent House,0,6,2725,6,Low,6.08,3,29.44,25-30,75.87,16.32,25.58,56.74%,16.89,1,1,,,
IN-KL-ELC-77385755,77385755,1/2/2023,Monday,2,1,IN_KL_TVM,Thiruvananthapuram,Apartment,2,4,484,19,High,6.29,3,25.94,25-30,45.78,17.81,0.00,-100.00%,17.26,1,0,,,
IN-KL-ELC-96990855,96990855,1/29/2023,Sunday,1,5,IN_KL_ALP,Alappuzha,Villa,1,5,1908,19,High,4.49,2,22.49,<25,59.45,16.61,17.42,4.88%,16.26,0,0,,,
IN-KL-ELC-64375065,64375065,1/30/2023,Monday,2,5,IN_KL_ERN,Ernakulam,Apartment,2,3,828,6,Low,6.29,3,31.82,>30,62.98,13.68,21.99,60.77%,16.61,1,1,,,
IN-KL-ELC-82741791,82741791,1/23/2023,Monday,2,4,IN_KL_ERN,Ernakulam,Independent House,0,3,1297,9,Low,7.49,3,34.89,>30,49.23,16.39,17.63,7.57%,16.43,0,0,,,
IN-KL-ELC-13794510,13794510,1/17/2023,Tuesday,3,3,IN_KL_TVM,Thiruvananthapuram,Independent House,0,5,2791,20,High,4.67,2,29.92,25-30,57.97,19.18,17.54,-8.55%,16.89,0,0,,,
IN-KL-ELC-57340243,57340243,1/14/2023,Saturday,7,2,IN_KL_ERN,Ernakulam,Independent House,0,6,823,7,Low,5.16,3,31.28,>30,67.88,16.43,13.32,-18.93%,16.43,1,0,,,
IN-KL-ELC-59350609,59350609,1/29/2023,Sunday,1,5,IN_KL_ERN,Ernakulam,Apartment,2,2,2188,20,High,4.97,2,28.24,25-30,84.59,15.70,13.16,-16.18%,16.61,0,0,,,
IN-KL-ELC-50932588,50932588,1/20/2023,Friday,6,3,IN_KL_ERN,Ernakulam,Apartment,2,6,578,10,Low,7.84,3,26.91,25-30,56.63,18.29,0.00,-100.00%,16.61,1,0,,,
IN-KL-ELC-28743962,28743962,1/24/2023,Tuesday,3,4,IN_KL_ERN,Ernakulam,Independent House,0,6,1543,15,Medium,5.27,3,30.24,>30,46.42,19.07,18.46,-3.20%,16.43,0,0,,,
IN-KL-ELC-70410608,70410608,1/29/2023,Sunday,1,5,IN_KL_TVM,Thiruvananthapuram,Independent House,0,2,2108,18,High,4.47,2,27.16,25-30,47.93,14.41,20.33,41.07%,16.89,1,1,,,
IN-KL-ELC-47405775,47405775,1/9/2023,Monday,2,2,IN_KL_ERN,Ernakulam,Apartment,2,2,1840,6,Low,4.40,2,27.05,25-30,55.18,10.32,10.96,6.20%,16.61,1,1,,,
IN-KL-ELC-90825900,90825900,1/17/2023,Tuesday,3,3,IN_KL_ALP,Alappuzha,Independent House,0,3,2379,14,Medium,4.54,2,30.53,>30,69.03,14.92,25.98,74.10%,17.83,1,1,,,
IN-KL-ELC-54052905,54052905,1/24/2023,Tuesday,3,4,IN_KL_ALP,Alappuzha,Villa,1,5,609,16,High,7.57,3,26.23,25-30,67.26,18.85,20.19,7.11%,16.26,0,0,,,
IN-KL-ELC-91812452,91812452,1/5/2023,Thursday,5,1,IN_KL_ALP,Alappuzha,Apartment,2,1,1952,10,Low,4.27,2,27.63,25-30,57.45,10.61,15.07,42.00%,16.47,1,1,,,
IN-KL-ELC-34642880,34642880,1/29/2023,Sunday,1,5,IN_KL_ALP,Alappuzha,Independent House,0,4,701,18,High,6.73,3,37.67,>30,69.11,21.13,21.61,2.27%,17.83,0,1,,,
IN-KL-ELC-86774785,86774785,1/26/2023,Thursday,5,4,IN_KL_ERN,Ernakulam,Independent House,0,4,2185,19,High,3.67,2,28.38,25-30,52.77,16.59,16.67,0.48%,16.43,0,0,,,
IN-KL-ELC-64375065,64375065,1/5/2023,Thursday,5,1,IN_KL_ERN,Ernakulam,Apartment,2,3,828,6,Low,6.29,3,24.62,<25,73.07,12.24,14.29,16.73%,16.61,0,1,,,
IN-KL-ELC-54025412,54025412,1/30/2023,Monday,2,5,IN_KL_TVM,Thiruvananthapuram,Villa,1,4,2792,10,Low,6.83,3,28.62,25-30,79.38,15.89,24.53,54.39%,16.02,1,1,,,
IN-KL-ELC-38289970,38289970,1/12/2023,Thursday,5,2,IN_KL_TVM,Thiruvananthapuram,Apartment,2,1,2029,12,Medium,4.03,2,24.42,<25,55.01,10.56,9.07,-14.11%,17.26,1,0,,,
IN-KL-ELC-24983334,24983334,1/5/2023,Thursday,5,1,IN_KL_ERN,Ernakulam,Apartment,2,2,1521,21,High,4.83,2,33.60,>30,47.39,17.26,16.12,-6.60%,16.61,0,0,,,
IN-KL-ELC-58140776,58140776,1/11/2023,Wednesday,4,2,IN_KL_ERN,Ernakulam,Villa,1,6,1760,21,High,3.97,2,33.71,>30,53.65,21.25,19.90,-6.35%,16.28,0,0,,,
IN-KL-ELC-69429201,69429201,1/15/2023,Sunday,1,3,IN_KL_ERN,Ernakulam,Villa,1,2,749,12,Medium,5.97,3,22.25,<25,51.94,12.44,13.10,5.31%,16.28,0,0,,,
IN-KL-ELC-65980523,65980523,1/29/2023,Sunday,1,5,IN_KL_TVM,Thiruvananthapuram,Apartment,2,2,1885,7,Low,5.79,3,30.06,>30,76.03,12.20,13.46,10.33%,17.26,0,1,,,
IN-KL-ELC-70260372,70260372,1/24/2023,Tuesday,3,4,IN_KL_ERN,Ernakulam,Independent House,0,5,1054,8,Low,4.03,2,31.18,>30,83.65,14.78,14.59,-1.29%,16.43,0,0,,,
IN-KL-ELC-72602002,72602002,1/12/2023,Thursday,5,2,IN_KL_ALP,Alappuzha,Villa,1,3,2543,7,Low,3.68,2,32.47,>30,68.72,12.14,0.00,-100.00%,16.26,1,0,,,
IN-KL-ELC-89330274,89330274,1/5/2023,Thursday,5,1,IN_KL_ERN,Ernakulam,Independent House,0,2,2501,18,High,6.94,3,34.77,>30,45.68,18.11,19.16,5.80%,16.43,0,0,,,
IN-KL-ELC-76726031,76726031,1/19/2023,Thursday,5,3,IN_KL_ERN,Ernakulam,Independent House,0,2,849,9,Low,7.27,3,30.18,>30,58.35,14.04,24.07,71.43%,16.43,1,1,,,
IN-KL-ELC-55638606,55638606,1/12/2023,Thursday,5,2,IN_KL_ERN,Ernakulam,Villa,1,6,463,9,Low,3.28,2,28.34,25-30,76.42,15.03,0.00,-100.00%,16.28,1,0,,,
IN-KL-ELC-61949394,61949394,1/18/2023,Wednesday,4,3,IN_KL_ERN,Ernakulam,Independent House,0,2,1004,14,Medium,5.67,3,31.07,>30,67.77,14.79,0.00,-100.00%,16.43,1,0,,,
IN-KL-ELC-65776530,65776530,1/30/2023,Monday,2,5,IN_KL_ERN,Ernakulam,Independent House,0,2,1793,7,Low,3.51,2,27.77,25-30,52.94,10.13,10.92,7.80%,16.43,1,0,,,
IN-KL-ELC-34712069,34712069,1/29/2023,Sunday,1,5,IN_KL_ALP,Alappuzha,Apartment,2,4,2523,21,High,2.53,1,34.66,>30,77.25,18.03,20.38,13.03%,16.47,0,0,,,
IN-KL-ELC-96573799,96573799,1/18/2023,Wednesday,4,3,IN_KL_ERN,Ernakulam,Villa,1,4,578,19,High,4.50,2,26.28,25-30,54.29,16.64,17.47,4.99%,16.28,0,0,,,
IN-KL-ELC-79975445,79975445,1/17/2023,Tuesday,3,3,IN_KL_ERN,Ernakulam,Villa,1,5,2520,15,Medium,6.56,3,34.61,>30,46.2,20.17,22.51,11.60%,16.28,1,0,,,
IN-KL-ELC-86829181,86829181,1/26/2023,Thursday,5,4,IN_KL_TVM,Thiruvananthapuram,Apartment,2,3,977,15,Medium,3.88,2,33.89,>30,65.81,15.52,28.02,80.56%,17.26,1,1,,,
IN-KL-ELC-91636239,91636239,1/30/2023,Monday,2,5,IN_KL_ALP,Alappuzha,Apartment,2,5,471,10,Low,3.51,2,34.55,>30,59.19,15.84,20.18,27.39%,16.47,1,0,,,
IN-KL-ELC-25737030,25737030,1/11/2023,Wednesday,4,2,IN_KL_ERN,Ernakulam,Independent House,0,4,2725,11,Medium,3.75,2,29.19,25-30,50.85,14.09,0.00,-100.00%,16.43,1,0,,,
IN-KL-ELC-72267329,72267329,1/2/2023,Monday,2,1,IN_KL_ERN,Ernakulam,Villa,1,2,1438,13,Medium,4.71,2,31.95,>30,71.86,13.88,17.08,23.02%,16.28,1,0,,,
IN-KL-ELC-42410429,42410429,1/12/2023,Thursday,5,2,IN_KL_ERN,Ernakulam,Apartment,2,4,2455,7,Low,2.57,1,30.78,>30,81.78,12.12,17.15,41.49%,16.61,1,1,,,
IN-KL-ELC-95384842,95384842,1/17/2023,Tuesday,3,3,IN_KL_TVM,Thiruvananthapuram,Independent House,0,3,992,13,Medium,7.19,3,38.35,>30,57.95,18.50,17.66,-4.54%,16.89,0,1,,,
IN-KL-ELC-77934995,77934995,1/14/2023,Saturday,7,2,IN_KL_TVM,Thiruvananthapuram,Apartment,2,3,2725,13,Medium,7.29,3,28.26,25-30,46.58,16.09,15.32,-4.79%,17.26,0,1,,,
IN-KL-ELC-77596010,77596010,1/20/2023,Friday,6,3,IN_KL_ERN,Ernakulam,Apartment,2,1,2316,6,Low,2.69,1,29.34,25-30,65.56,8.33,7.98,-4.20%,16.61,1,1,,,
IN-KL-ELC-92912126,92912126,1/12/2023,Thursday,5,2,IN_KL_ALP,Alappuzha,Independent House,0,4,622,17,High,3.12,2,27.31,25-30,67.62,15.25,15.47,1.44%,17.83,0,1,,,
IN-KL-ELC-92912126,92912126,1/16/2023,Monday,2,3,IN_KL_ALP,Alappuzha,Independent House,0,4,622,17,High,3.12,2,32.29,>30,57,17.83,24.52,37.50%,17.83,1,1,,,
IN-KL-ELC-98421014,98421014,1/1/2023,Sunday,1,1,IN_KL_TVM,Thiruvananthapuram,Independent House,0,5,2082,8,Low,5.51,3,30.98,>30,63.63,15.86,24.54,54.76%,16.89,1,1,,,
IN-KL-ELC-39118096,39118096,1/1/2023,Sunday,1,1,IN_KL_ERN,Ernakulam,Apartment,2,3,1256,8,Low,5.18,3,25.21,25-30,73.23,12.24,10.66,-12.91%,16.61,1,0,,,
IN-KL-ELC-18533227,18533227,1/15/2023,Sunday,1,3,IN_KL_TVM,Thiruvananthapuram,Apartment,2,4,2790,21,High,4.08,2,31.12,>30,70.25,18.31,23.15,26.43%,17.26,1,1,,,
IN-KL-ELC-46022951,46022951,1/10/2023,Tuesday,3,2,IN_KL_ALP,Alappuzha,Apartment,2,3,2697,19,High,4.93,2,36.19,>30,50.98,18.41,18.46,0.27%,16.47,0,0,,,
IN-KL-ELC-57752628,57752628,1/8/2023,Sunday,1,2,IN_KL_TVM,Thiruvananthapuram,Independent House,0,3,2777,7,Low,5.09,3,31.28,>30,83.34,13.01,10.98,-15.60%,16.89,1,0,,,
IN-KL-ELC-96990855,96990855,1/19/2023,Thursday,5,3,IN_KL_ALP,Alappuzha,Villa,1,5,1908,19,High,4.49,2,26.85,25-30,73.34,17.83,18.56,4.09%,16.26,0,0,,,
IN-KL-ELC-16312174,16312174,1/21/2023,Saturday,7,3,IN_KL_TVM,Thiruvananthapuram,Apartment,2,4,453,19,High,3.77,2,31.18,>30,49.3,17.38,17.34,-0.23%,17.26,0,1,,,
IN-KL-ELC-65776530,65776530,1/11/2023,Wednesday,4,2,IN_KL_ERN,Ernakulam,Independent House,0,2,1793,7,Low,3.51,2,26.30,25-30,54.71,9.90,0.00,-100.00%,16.43,1,0,,,
IN-KL-ELC-91636239,91636239,1/23/2023,Monday,2,4,IN_KL_ALP,Alappuzha,Apartment,2,5,471,10,Low,3.51,2,30.59,>30,54.15,14.96,14.30,-4.41%,16.47,0,0,,,
IN-KL-ELC-11824099,11824099,1/10/2023,Tuesday,3,2,IN_KL_TVM,Thiruvananthapuram,Independent House,0,1,964,13,Medium,7.41,3,31.43,>30,61.15,14.72,21.54,46.34%,16.89,1,1,,,
IN-KL-ELC-28743962,28743962,1/7/2023,Saturday,7,1,IN_KL_ERN,Ernakulam,Independent House,0,6,1543,15,Medium,5.27,3,28.03,25-30,73.38,18.44,19.33,4.83%,16.43,0,0,,,
IN-KL-ELC-96877514,96877514,1/13/2023,Friday,6,2,IN_KL_ALP,Alappuzha,Apartment,2,5,1477,8,Low,3.54,2,32.21,>30,59.64,14.62,26.61,82.00%,16.47,1,1,,,
IN-KL-ELC-61443706,61443706,1/7/2023,Saturday,7,1,IN_KL_TVM,Thiruvananthapuram,Independent House,0,5,2500,9,Low,4.71,2,27.91,25-30,64.44,14.90,20.92,40.37%,16.89,1,1,,,
IN-KL-ELC-68820657,68820657,1/15/2023,Sunday,1,3,IN_KL_ERN,Ernakulam,Independent House,0,4,833,6,Low,4.72,2,24.38,<25,74.74,12.12,13.25,9.32%,16.43,0,0,,,
IN-KL-ELC-18533227,18533227,1/5/2023,Thursday,5,1,IN_KL_TVM,Thiruvananthapuram,Apartment,2,4,2790,21,High,4.08,2,30.34,>30,52.83,18.10,25.37,40.14%,17.26,1,1,,,
IN-KL-ELC-86401151,86401151,1/10/2023,Tuesday,3,2,IN_KL_TVM,Thiruvananthapuram,Apartment,2,2,1498,15,Medium,3.46,2,32.05,>30,51.63,13.65,12.76,-6.52%,17.26,0,0,,,
IN-KL-ELC-81023113,81023113,1/20/2023,Friday,6,3,IN_KL_TVM,Thiruvananthapuram,Independent House,0,1,2076,14,Medium,6.17,3,44.39,>30,61.88,16.81,30.70,82.62%,16.89,1,1,,,
IN-KL-ELC-73453717,73453717,1/6/2023,Friday,6,1,IN_KL_ALP,Alappuzha,Villa,1,6,694,19,High,6.97,3,26.56,25-30,69.1,20.56,21.15,2.87%,16.26,0,0,,,
IN-KL-ELC-55367153,55367153,1/6/2023,Friday,6,1,IN_KL_TVM,Thiruvananthapuram,Independent House,0,1,490,12,Medium,6.27,3,32.60,>30,54.62,13.72,13.26,-3.35%,16.89,0,1,,,
IN-KL-ELC-15833790,15833790,1/6/2023,Friday,6,1,IN_KL_TVM,Thiruvananthapuram,Independent House,0,4,2209,11,Medium,4.97,2,28.23,25-30,65.67,14.78,24.75,67.49%,16.89,1,1,,,
IN-KL-ELC-65776530,65776530,1/24/2023,Tuesday,3,4,IN_KL_ERN,Ernakulam,Independent House,0,2,1793,7,Low,3.51,2,23.26,<25,72.76,9.42,10.67,13.27%,16.43,1,0,,,
IN-KL-ELC-71807372,71807372,1/9/2023,Monday,2,2,IN_KL_ALP,Alappuzha,Apartment,2,6,1129,11,Medium,5.78,3,29.72,25-30,81.54,17.91,23.03,28.59%,16.47,1,0,,,
IN-KL-ELC-39176775,39176775,1/11/2023,Wednesday,4,2,IN_KL_ERN,Ernakulam,Independent House,0,6,2654,12,Medium,2.98,1,28.13,25-30,56.14,15.78,15.49,-1.84%,16.43,0,0,,,
IN-KL-ELC-37411538,37411538,1/1/2023,Sunday,1,1,IN_KL_TVM,Thiruvananthapuram,Apartment,2,3,1837,6,Low,7.27,3,29.36,25-30,49.33,13.92,14.67,5.39%,17.26,0,1,,,
IN-KL-ELC-72267329,72267329,1/24/2023,Tuesday,3,4,IN_KL_ERN,Ernakulam,Villa,1,2,1438,13,Medium,4.71,2,36.35,>30,84.41,14.77,13.92,-5.75%,16.28,0,0,,,
IN-KL-ELC-73898526,73898526,1/27/2023,Friday,6,4,IN_KL_TVM,Thiruvananthapuram,Independent House,0,5,1725,11,Medium,7.14,3,28.87,25-30,80.08,16.89,17.16,1.60%,16.89,0,1,,,
IN-KL-ELC-85879717,85879717,1/26/2023,Thursday,5,4,IN_KL_ALP,Alappuzha,Apartment,2,1,2619,15,Medium,5.08,3,27.45,25-30,51.33,12.85,12.98,1.01%,16.47,0,0,,,
